casts,cover,cover_x,cover_y,directors,id,rate,star,title,url
"['科林·费尔斯', '杰弗里·拉什', '海伦娜·伯翰·卡特', '盖·皮尔斯', '迈克尔·刚本']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p768879237.jpg,1950,2850,['汤姆·霍珀'],4023638,8.3,40,国王的演讲,https://movie.douban.com/subject/4023638/
"['希斯·莱杰', '杰克·吉伦哈尔', '米歇尔·威廉姆斯', '安妮·海瑟薇', '凯特·玛拉']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg,1012,1500,['李安'],1418834,8.7,45,断背山,https://movie.douban.com/subject/1418834/
"['本·阿弗莱克', '裴淳华', '尼尔·帕特里克·哈里斯', '凯莉·库恩', '泰勒·派瑞']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,1400,2100,['大卫·芬奇'],21318488,8.7,45,消失的爱人,https://movie.douban.com/subject/21318488/
"['瑞恩·高斯林', '艾玛·斯通', '约翰·传奇', '罗丝玛丽·德薇特', '芬·维特洛克']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2425658570.jpg,1325,2000,['达米恩·查泽雷'],25934014,8.3,40,爱乐之城,https://movie.douban.com/subject/25934014/
"['伊莱贾·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,1098,1500,['彼得·杰克逊'],1291571,8.9,45,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/
"['罗素·克劳', '艾德·哈里斯', '詹妮弗·康纳利', '克里斯托弗·普卢默', '保罗·贝坦尼']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,1920,2850,['朗·霍华德'],1306029,8.9,45,美丽心灵,https://movie.douban.com/subject/1306029/
"['凯拉·奈特莉', '马修·麦克费登', '唐纳德·萨瑟兰', '布兰达·布莱斯', '凯瑞·穆里根']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452005185.jpg,500,741,['乔·赖特'],1418200,8.5,45,傲慢与偏见,https://movie.douban.com/subject/1418200/
"['乔纳森·泰勒·托马斯', '马修·布罗德里克', '杰瑞米·艾恩斯', '詹姆斯·厄尔·琼斯', '莫伊拉·凯利']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,1971,2937,"['罗杰·阿勒斯', '罗伯·明可夫']",1301753,8.9,45,狮子王,https://movie.douban.com/subject/1301753/
"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·卡沙莫', '辛·劳洛']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,1011,1500,['梅尔·吉布森'],1294639,8.8,45,勇敢的心,https://movie.douban.com/subject/1294639/
"['约翰·库萨克', '雷·利奥塔', '阿曼达·皮特', '阿尔弗雷德·莫里纳', '克里·杜瓦尔']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453720880.jpg,1012,1500,['詹姆斯·曼高德'],1297192,8.7,45,致命ID,https://movie.douban.com/subject/1297192/
"['维果·莫腾森', '伊莱贾·伍德', '西恩·奥斯汀', '丽芙·泰勒', '伊恩·麦克莱恩']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,600,834,['彼得·杰克逊'],1291552,9.1,45,指环王3：王者无敌,https://movie.douban.com/subject/1291552/
"['拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪', '威廉·达福', '裘德·洛']",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,3663,5740,['韦斯·安德森'],11525673,8.8,45,布达佩斯大饭店,https://movie.douban.com/subject/11525673/
"['安德鲁·加菲尔德', '萨姆·沃辛顿', '文斯·沃恩', '雨果·维文', '卢克·布雷西']",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg,1417,2076,['梅尔·吉布森'],26325320,8.7,45,血战钢锯岭,https://movie.douban.com/subject/26325320/
